,id,start_frame,stop_frame,annotation,video_file
172,2,114,150,add some cider vinegar and saute the cabbage,video_28.mp4
173,3,151,203,add salt ground mustard seed brown sugar and stir,video_28.mp4
174,0,58,68,chop a stalk of parsley,video_29.mp4
175,1,69,85,finely chop a few cloves of garlic,video_29.mp4
176,2,89,100,finely chop a few hot peppers,video_29.mp4
177,3,124,139,cut a stick of butter into thin slices and add to the vegetables,video_29.mp4
178,4,140,180,add salt black pepper and breadcrumbs to the bowl and mix together,video_29.mp4
179,5,181,208,add the butter mixture to empty shells,video_29.mp4
180,6,217,224,add the escargot inside the shells,video_29.mp4
181,7,225,230,put the butter mixture on top of the escargot,video_29.mp4
182,8,283,290,dip an escargot into the breadcrumbs,video_29.mp4
183,9,314,338,pour some water into a tray and place the escargot onto it and place in the oven,video_29.mp4
184,10,355,379,remove the escargot from the oven and place on a plate,video_29.mp4
185,11,395,408,place pieces of garlic bread on the plate with the escargot,video_29.mp4
186,0,78,100,combine chilies black pepper coriander cumin fenugreek seeds cardamom and a cinnamon stick and blend into a powder,video_30.mp4
187,1,101,119,add chopped garlic chopped ginger and chopped onion,video_30.mp4
188,2,121,124,add white vinegar and brown vinegar and mix,video_30.mp4
189,3,128,136,add brown sugar salt paprika and canned tomatoes,video_30.mp4
190,4,144,158,add the spice powder to it and blend,video_30.mp4
191,5,159,166,heat up a pot on the grill with ghee and lamb,video_30.mp4
192,6,167,195,pour in the sauce stir and cover the pot,video_30.mp4
193,7,198,214,open the lid stir close the lid and move the pot from the direct heat,video_30.mp4
194,8,220,222,cover the grill and cook,video_30.mp4
195,9,224,236,stir the pot,video_30.mp4
196,10,239,245,replace the lid on the grill and cook,video_30.mp4
197,0,25,40,trim the fat off of some beef and place in a slow cooker,video_31.mp4
198,1,41,53,crush caraway seeds with a mortar and pastel and pour into a small bowl,video_31.mp4
199,2,54,64,add paprika salt and pepper to the caraway seeds,video_31.mp4
200,3,65,73,sprinkle the spices over the beef cubes and stir,video_31.mp4
201,4,77,89,add a large onion and bell pepper to the beef,video_31.mp4
202,5,92,114,add diced tomatoes beef broth worcester sauce and minced garlic to a pan and stir,video_31.mp4
203,6,115,129,pour the tomatoes into the slow cooker and place two bay leaves on top,video_31.mp4
204,7,131,139,turn on the slow cooker on high for four hours,video_31.mp4
205,8,152,164,mix corn starch and water in a bowl and stir with the stew,video_31.mp4
206,0,48,65,cook the meat in a pan,video_33.mp4
207,1,67,74,cook the spinach in a steamer,video_33.mp4
208,2,80,95,cook the mushrooms in a pan,video_33.mp4
209,3,103,115,cook the bean sprouts in a pan,video_33.mp4
210,4,121,132,cook the carrots in a pan,video_33.mp4
211,5,135,172,combine gochujang soy sauce vinegar sesame seeds oil garlic and honey,video_33.mp4
212,6,203,231,blend cilantro garlic lime juice and oil,video_33.mp4
213,7,233,241,poach the egg in water,video_33.mp4
214,8,248,313,place the bean sprouts cucumber carrots mushrooms spinach and meat on the rice,video_33.mp4
215,9,324,345,add cilantro and gochujang sauce,video_33.mp4
216,10,348,365,place the egg on top,video_33.mp4
217,0,61,83,place chicago hot dogs on the grills and cook for few minutes,video_34.mp4
218,1,129,133,remove the cooked sausages on a plate,video_34.mp4
219,2,167,173,put hot water in bowl place sieve on put poppy seed buns inside cover with towel to make buns softer,video_34.mp4
220,3,181,197,cut the buns place the grilled dogs inside squeeze some mustard sauce on it,video_34.mp4
221,4,199,219,now spread green relish and then add chopped white onions on it,video_34.mp4
222,5,220,239,place slices of tomato in the edges and pickle and 2 pepper on top,video_34.mp4
223,6,244,246,lastly top with celery salt and serve,video_34.mp4
224,0,13,128,cut the pineapple,video_35.mp4
225,1,134,209,pound the garlic and chop it mince the ginger and slice the scallions,video_35.mp4
226,2,210,220,pour a little bit of vegetable oil in a pan,video_35.mp4
227,3,224,265,add ginger garlic and rice into the pan and stir it,video_35.mp4
228,4,267,305,add the shrimp pineapple and scallion and stir,video_35.mp4
229,5,310,338,transfer the rice into the pineapple bowl and garnish with cilantro,video_35.mp4
230,0,0,22,chop the potatoes,video_36.mp4
231,1,29,34,add water and lentils to the pot,video_36.mp4
232,2,35,39,add the chopped potatoes to a pot,video_36.mp4
233,3,45,53,boil the potatoes and lentils,video_36.mp4
234,4,56,61,drain the lentils,video_36.mp4
235,5,62,74,add broccoli and red bell pepper,video_36.mp4
236,6,76,91,add some fennel seeds and mixed herbs,video_36.mp4
237,7,98,110,add some onion powder and tomato sauce,video_36.mp4
238,8,111,114,add chopped carrots,video_36.mp4
239,9,128,139,add nutritional yeast and stir,video_36.mp4
240,10,142,147,add the cooked lentils to the soup,video_36.mp4
241,0,78,92,mix water salt and sugar,video_37.mp4
242,1,94,104,soak the salmon in the brine,video_37.mp4
243,2,121,127,add olive oil and the fish to a bag,video_37.mp4
244,3,153,175,cook the salmon in the bag,video_37.mp4
245,4,182,248,separate the salmon into pieces,video_37.mp4
246,5,262,271,spread the soy air on the plate,video_37.mp4
247,6,271,292,place the avocado and salmon on the plate,video_37.mp4
248,0,32,39,open the can of chickpeas and drain,video_39.mp4
249,1,43,58,chop up garlic in a food processor,video_39.mp4
250,2,58,106,add chickpeas lemon juice olive oil and water to food processor and blend,video_39.mp4
251,3,106,126,add black pepper and salt and stir,video_39.mp4
252,0,13,38,add flour pepper and salt to a bowl and mix,video_41.mp4
253,1,39,60,add the chicken and cover with flour,video_41.mp4
254,2,60,137,add barbecue sauce honey onion powder hickory seasoning to another bowl and mix together,video_41.mp4
255,3,153,171,add the chicken to the fryer,video_41.mp4
256,4,171,206,put the chicken into bowl of sauce and mix,video_41.mp4
257,0,24,36,heat pan with oil and add garlic paste,video_44.mp4
258,1,37,56,add green chili and coriander seeds cook on medium heat,video_44.mp4
259,2,58,75,add chopped onions and fry until brown,video_44.mp4
260,3,78,96,add red chili powder red chili flakes and mix well,video_44.mp4
261,4,97,112,add one cup of water,video_44.mp4
262,5,113,121,add some salt and mashed potatos,video_44.mp4
263,6,132,152,mix flour salt and oil in a bowl adding water slowly to form a dough,video_44.mp4
264,7,154,188,make small rolls of dough and roll into circle and cut in half,video_44.mp4
265,8,189,240,fold into cone shape and fill with potato mix and pinch top closed,video_44.mp4
266,9,241,261,heat oil in pot and deep fry then serve,video_44.mp4
267,0,12,16,add water to rice,video_45.mp4
268,1,20,30,drain the water and boil it in pressure cooker,video_45.mp4
269,2,20,55,add olive oil lemon juice salt and rice,video_45.mp4
270,3,60,74,add the lid and cook the rice,video_45.mp4
271,4,108,127,add spices to the chicken,video_45.mp4
272,5,127,135,mix the chicken,video_45.mp4
273,6,145,155,put chicken pieces onto frying pan,video_45.mp4
274,7,170,175,put lid on the frying pan,video_45.mp4
275,8,190,197,beat one egg in a bowl,video_45.mp4
276,9,200,221,add ginger garlic and onions,video_45.mp4
277,10,290,296,add the fried chicken pieces to the pan,video_45.mp4
278,11,301,312,add soy sauce and chili garlic sauce,video_45.mp4
279,12,330,341,add the cooked rice,video_45.mp4
280,13,352,381,add pepper vinegar and salt,video_45.mp4
281,0,78,85,soak chickpeas with water,video_46.mp4
282,1,98,123,drain and blend the chickpeas,video_46.mp4
283,2,138,157,add parsley coriander chili garlic and some blended chickpeas to the blender,video_46.mp4
284,3,160,162,blend the ingredients,video_46.mp4
285,4,165,169,mix the blended mixture with the blended chickpeas,video_46.mp4
286,5,172,189,add flour cumin crushed coriander seeds baking soda and a little salt and pepper,video_46.mp4
287,6,190,194,mix all the ingredients,video_46.mp4
288,7,201,209,heat some oil in a pan,video_46.mp4
289,8,210,220,form the falafel balls,video_46.mp4
290,9,236,245,add the falafel balls to the oil,video_46.mp4
291,10,255,263,remove the balls and drain with paper towel,video_46.mp4
292,0,21,24,heat the pan,video_47.mp4
293,1,25,34,crack an egg into the bowl,video_47.mp4
294,2,39,43,add oil to the pan,video_47.mp4
295,3,44,56,pour the egg and add a pinch of salt and red chili powder,video_47.mp4
296,4,57,77,add some chopped chilies some chopped tomatoes chopped coriander leaves and some grated cheese,video_47.mp4
297,5,78,95,flip the egg and cook the other side,video_47.mp4
298,6,106,109,place the cooked egg on toast,video_47.mp4
299,0,60,74,heat up a bowl of shredded cabbage and water drain it run under cold water and remove excess water,video_48.mp4
300,1,75,81,add green onion garlic ginger sugar shaoxing wine soy sauce and corn starch to a bowl of ground beef,video_48.mp4
301,2,82,85,mix the bowl of ground beef by hand,video_48.mp4
302,3,88,93,add the cabbage to the beef and mix by hand,video_48.mp4
303,4,94,102,wet the edges of a potsticker,video_48.mp4
304,5,103,140,add the meat mixture to the center of the wrapper fold in half and close,video_48.mp4
305,6,144,154,add peanut oil to a pan and spread,video_48.mp4
306,7,155,164,add the potstickers to the pan and pour hot water over them,video_48.mp4
307,0,20,31,grate the potato and onion,video_49.mp4
308,1,37,43,squeeze water out of the potatos with a towel,video_49.mp4
309,2,46,63,mix an egg salt and pepper with the potatos,video_49.mp4
310,3,63,79,mix flour with the potato mixture,video_49.mp4
311,4,80,88,add oil to a pan,video_49.mp4
312,5,94,108,place dollops of batter onto the pan and flatten,video_49.mp4
313,6,108,111,flip the pancakes when the edges turn brown,video_49.mp4
314,0,75,87,ground some roasted peanuts and put aside,video_50.mp4
315,1,177,222,add cooking oil in a pan and cook the tofu chunks in it,video_50.mp4
316,2,249,278,add 1 clove of chopped garlic and 1 small chopped shallot after tofu turns brown,video_50.mp4
317,3,292,329,add some soaked rice noodles and add water to soften it,video_50.mp4
318,4,340,343,add pad thai sauce,video_50.mp4
319,5,354,362,add sugar and fish sauce,video_50.mp4
320,6,389,431,add some shrimp and bean sprouts and continue stirring,video_50.mp4
321,7,452,477,add cooking oil and beat an egg,video_50.mp4
322,8,492,501,put the grounded peanuts on top of the noodles,video_50.mp4
323,0,140,151,combine seasoned bread crumbs with flour,video_51.mp4
324,1,152,167,beat an egg and dip the chicken in it,video_51.mp4
325,2,173,188,coat the chicken with the bread crumb powder and lay them on a baking pan,video_51.mp4
326,3,228,255,spread some salt black pepper and butter on each piece of chicken,video_51.mp4
327,4,334,382,bake the chicken in the oven,video_51.mp4
328,0,44,48,boil a pot of water,video_52.mp4
329,1,50,67,add an egg oil vinegar to a bowl and mix,video_52.mp4
330,2,73,80,place the bowl above the boiling water,video_52.mp4
331,3,87,92,place pieces of bread in an oven,video_52.mp4
332,4,104,109,poach an egg and place onto paper towel,video_52.mp4
333,5,110,138,place bacon and egg onto the bread and top with the sauce,video_52.mp4
334,0,90,132,add flour salt and oil and mix into a dough,video_54.mp4
335,1,156,205,add oil cumin seeds ginger garlic green chilies turmeric powder green peas and water,video_54.mp4
336,2,207,219,cook with the lid and add salt,video_54.mp4
337,3,236,258,add the mashed potatoes and garam masala and mix,video_54.mp4
338,4,269,282,add in the dry mango powder and chopped coriander leaves,video_54.mp4
339,5,331,360,roll and cut the dough,video_54.mp4
340,6,368,491,apply water to the edges make a cone stuff it with the filling and seal it,video_54.mp4
341,7,499,539,heat oil in a pan and deep fry the samosas,video_54.mp4
342,0,5,8,add eggs to a bowl and whisk,video_56.mp4
343,1,8,14,add milk garlic powder salt and pepper,video_56.mp4
344,2,15,17,spread butter on the dish,video_56.mp4
345,3,17,21,add pieces of english muffin and ham to the dish,video_56.mp4
346,4,21,25,pour the egg mixture over the dish,video_56.mp4
347,5,27,29,bake the dish in the oven,video_56.mp4
348,6,30,34,mix egg yolks and lemon juice,video_56.mp4
349,7,36,47,mix butter cayenne pepper and salt with the sauce,video_56.mp4
350,8,47,51,pour the sauce over the dish,video_56.mp4
351,9,51,54,sprinkle paprika and parsley on top,video_56.mp4
352,0,47,52,place a skillet of sausages on the grill,video_57.mp4
353,1,58,68,cover the grill and cook the sausges,video_57.mp4
354,2,69,104,flip the bratwursts over,video_57.mp4
355,3,128,137,place the sausages on the grill,video_57.mp4
356,0,43,68,put maida in a deep bowl add sooji baking soda salt and mix well,video_58.mp4
357,1,71,86,add yogurt and mix well,video_58.mp4
358,2,84,98,add water and start to knead in to stiff dough,video_58.mp4
359,3,101,142,once dough is ready cover and keep it to rest for 4 hours,video_58.mp4
360,4,160,181,heat up oil add cumin seeds onion and cook until onion gets golden brown,video_58.mp4
361,5,185,200,add ginger garlic paste and cook,video_58.mp4
362,6,205,236,add chana masala and cook for 2 minutes,video_58.mp4
363,7,243,270,add tomatoes red chilli powder mix cover and cook for 5 minutes,video_58.mp4
364,8,294,348,add soaked chana salt water cover and pressure cook,video_58.mp4
365,9,381,405,after 4 hours divide dough in small balls,video_58.mp4
366,10,420,461,deep fry until gets golden color from both sides,video_58.mp4
367,0,53,102,peel and cut the radish,video_59.mp4
368,1,103,110,wash the radish,video_59.mp4
369,2,115,130,spread salt onto the radish,video_59.mp4
370,3,189,193,drain and rinse the radish,video_59.mp4
371,4,196,213,mix red chili sugar garlic fish sauce and scallians with the radish,video_59.mp4
372,0,75,102,in a large skillet add olive oil and melt the butter,video_62.mp4
373,1,102,158,add chopped potatoes and cook them in the skillet for 10 mins,video_62.mp4
374,2,158,220,add onions red pepper salt and black pepper to the potatoes and cook for 5 minutes,video_62.mp4
375,3,220,260,sprinkle some garlic and parsley and cook the potatoes for 1-2 mins,video_62.mp4
376,0,30,53,add sugar rice wine soy sauce salt chili oil chili powder and chicken stock to a bowl,video_63.mp4
377,1,60,86,chop garlic ginger and green onions and red chilies,video_63.mp4
378,2,87,117,trim away chicken fat and cut meat into pieces,video_63.mp4
379,3,120,139,add chicken salt rice wine soy sauce to a bowl and mix,video_63.mp4
380,4,140,148,add corn starch and mix,video_63.mp4
381,5,147,155,add oil and mix,video_63.mp4
382,6,165,184,add oil dried chilies and chicken to the wok,video_63.mp4
383,7,198,204,add garlic green onions and ginger,video_63.mp4
384,8,209,213,add sauce to the wok,video_63.mp4
385,9,229,235,add roasted peanuts to wok and mix,video_63.mp4
386,10,236,241,add black vinegar and stir the wok,video_63.mp4
387,0,14,25,boil the potatoes until it is half done then peel the skin and grate,video_66.mp4
388,1,29,39,heat butter in a pan,video_66.mp4
389,2,41,51,add finely chopped onions into the melted butter and salt till it gets brown,video_66.mp4
390,3,54,65,put grated potatoes in a bowl and pour salted onions into it,video_66.mp4
391,4,67,92,add 1 tsp salt black pepper powder little crushed nutmeg and finely chopped parsley and mix all the ingredients well,video_66.mp4
392,5,104,122,grease a baking tray with butter or oil and put the mixture on it and spread evenly,video_66.mp4
393,6,124,133,spread some butter on top of the evenly spread potato mash and season with black pepper powder,video_66.mp4
394,7,141,144,bake it in a preheated oven for 10  15 minutes at 200 degree and serve,video_66.mp4
395,0,42,59,slice the tuna into cubes,video_67.mp4
396,1,65,85,mix the tuna with scallions and sriracha,video_67.mp4
397,2,118,148,spread a ball of rice on the sheet of seaweed,video_67.mp4
398,3,148,158,sprinkle sesame seeds on the rice and flip the sheet over,video_67.mp4
399,4,164,174,place the tuna mixture in a line of the roll,video_67.mp4
400,5,174,207,roll up the sheet and squeeze the roll,video_67.mp4
401,6,214,229,slice the roll in pieces,video_67.mp4
402,0,73,110,add flour into mixing bowl with salt baking powder yeast sugar,video_68.mp4
403,1,117,133,add yogurt to mixing bowl,video_68.mp4
404,2,135,153,add warm milk and knead dough,video_68.mp4
405,3,167,170,cover the dough,video_68.mp4
406,4,200,213,knead the dough,video_68.mp4
407,5,214,227,break dough into equal size balls,video_68.mp4
408,6,260,277,roll balls flat on surface,video_68.mp4
409,7,277,294,add garlic and coriander leaves to dough,video_68.mp4
410,8,295,320,place the dough on the skillet and fry,video_68.mp4
411,9,311,352,remove from skillet and place in oven,video_68.mp4
412,10,358,380,pat with butter and serve,video_68.mp4
413,0,11,67,cut off the wing tips from a chicken disjoint the body into pieces and cut the breasts in pieces,video_70.mp4
414,1,68,84,place the chicken in a bowl and add black pepper salt paprika dried herbs white pepper and cayenne and stir,video_70.mp4
415,2,85,96,pour buttermilk into the bowl and stir,video_70.mp4
416,3,97,112,add salt paprika cayenne garlic powder white pepper and onion powder to a tray of flour,video_70.mp4
417,4,113,134,coat the chicken in the seasoned flour,video_70.mp4
418,5,135,156,fry the chicken into a pot of boiling oil,video_70.mp4
419,6,197,205,transfer the chicken from the pot to a rack,video_70.mp4
420,0,41,52,squeeze the potatoes,video_71.mp4
421,1,53,56,add the hash browns and flour to a bowl,video_71.mp4
422,2,56,75,add salt pepper garlic powder and an egg to the bowl,video_71.mp4
423,3,75,79,mix the ingredients in the bowl together,video_71.mp4
424,4,90,111,fry the hash browns in a pan,video_71.mp4
425,0,56,65,spread the butter on two toast,video_72.mp4
426,1,68,88,slice a thin slice of the cheese,video_72.mp4
427,2,90,102,heat a pan and put the toast in it,video_72.mp4
428,3,106,115,put the cheese slice on top and then the other piece of toast on top,video_72.mp4
429,4,125,150,flip it when the bottom is golden,video_72.mp4
